Auteur;P1;Ecole_pays_1;P_Dates;Id
MULLER LOUIS;;FRANCE;;28814
MULOT ALBERT FELIX;le havre, 1847, paris, 1922;FRANCE;1847-1922;28821
MUMUYE;;NIGERIA;;5446
MURGEY FRANÇOIS THEOPHILE;Dijon, ?, paris, 1907;FRANCE;1907;20700
MUSCAT ALPHONSE;Genève, 1871, bourg-en-bresse, 1944;FRANCE;1871-1944;179
NADAUD AUGUSTE;Abbeville, 1835, paris, 1889;;1835-1889;17814
NADAUD DANIEL;Paris, 1942;FRANCE;1942;14203
NALOT BERNARD;;;;9585
NANTEUIL CHARLES FRANÇOIS;;;;20008
NANTEUIL LEBOEUF CHARLES FRANÇOIS;Paris, 1792, paris, 1865;FRANCE;1792-1865;8486
NAVATEL;;;;36218
NAVELLIER EDOUARD;paris, 1865, paris, 1944;FRANCE;1865-1944;13180
NAVELLIER EDOUARD FELICIEN EUGENE;;FRANCE;;28828
NAYAL AUGUSTE FRANÇOIS JOSEPH;Lorient, 1845, 1875 après;FRANCE;1845-1875;13458
NEDJAR MICHEL;Soisy-sous-montmorency, 1947;FRANCE;1947;11419
NEGRI JOEL;Grenoble, 1949;FRANCE;1949;14174
